q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-35.542312276519667,-35.457687723480333,-35.5,0,0,0,0,0,0,0
-35.457687723480333,-35.373063170441,-35.415375446960667,0,0,0,0,0,0,0
-35.373063170441,-35.288438617401667,-35.330750893921333,0,0,0,0,0,0,0
-35.288438617401667,-35.203814064362334,-35.246126340882,0,0,0,0,0,0,0
-35.203814064362334,-35.119189511323,-35.161501787842667,0,0,0,0,0,0,0
-35.119189511323,-35.034564958283667,-35.076877234803334,0,0,0,0,0,0,0
-35.034564958283667,-34.949940405244341,-34.992252681764,0,0,0,0,0,0,0
-34.949940405244341,-34.865315852205008,-34.907628128724674,0,0,0,0,0,0,0
-34.865315852205008,-34.780691299165674,-34.823003575685341,0,0,0,0,0,0,0
-34.780691299165674,-34.696066746126341,-34.738379022646008,0,0,0,0,0,0,0
-34.696066746126341,-34.611442193087008,-34.653754469606675,0,0,0,0,0,0,0
-34.611442193087008,-34.526817640047675,-34.569129916567341,0,0,0,0,0,0,0
-34.526817640047675,-34.442193087008341,-34.484505363528008,0,0,0,0,0,0,0
-34.442193087008341,-34.357568533969008,-34.399880810488675,0,0,0,0,0,0,0
-34.357568533969008,-34.272943980929682,-34.315256257449349,0,0,0,0,0,0,0
-34.272943980929682,-34.188319427890349,-34.230631704410015,0,0,0,0,0,0,0
-34.188319427890349,-34.103694874851016,-34.146007151370682,0,0,0,0,0,0,0
-34.103694874851016,-34.019070321811682,-34.061382598331349,0,0,0,0,0,0,0
-34.019070321811682,-33.934445768772349,-33.976758045292016,0,0,0,0,0,0,0
-33.934445768772349,-33.849821215733016,-33.892133492252682,0,0,0,0,0,0,0
-33.849821215733016,-33.765196662693683,-33.807508939213349,0,0,0,0,0,0,0
-33.765196662693683,-33.680572109654349,-33.722884386174016,0,0,0,0,0,0,0
