q,n_lda
-35.5,0
-35.415375446960667,0
-35.330750893921333,0
-35.246126340882,0
-35.161501787842667,0
-35.076877234803334,0
-34.992252681764008,0
-34.907628128724674,0
-34.823003575685341,0
-34.738379022646008,0
-34.653754469606675,0
-34.569129916567341,0
-34.484505363528008,0
-34.399880810488675,0
-34.315256257449342,0
-34.230631704410015,0
-34.146007151370682,0
-34.061382598331349,0
-33.976758045292016,0
-33.892133492252682,0
-33.807508939213349,0
-33.722884386174016,0
-33.638259833134683,0
-33.553635280095349,0
-33.469010727056016,0
-33.384386174016683,0
-33.299761620977357,0
-33.215137067938024,0
-33.13051251489869,0
-33.045887961859357,0
-32.961263408820024,0
-32.876638855780691,0
-32.792014302741357,0
-32.707389749702024,0
-32.622765196662691,0
-32.538140643623365,0
-32.453516090584031,0
-32.368891537544698,0
-32.284266984505365,0
-32.199642431466032,0
-32.115017878426698,0
-32.030393325387365,0
-31.945768772348032,0
-31.861144219308702,0
-31.776519666269369,0
-31.691895113230036,0
-31.607270560190702,0
-31.522646007151369,0
-31.43802145411204,0
-31.353396901072706,0
-31.268772348033373,0
-31.18414779499404,0
-31.099523241954707,0
-31.014898688915373,0
-30.930274135876044,0
-30.84564958283671,0
-30.761025029797377,0
-30.676400476758044,0
-30.591775923718714,0
-30.507151370679381,0
-30.422526817640048,0
-30.337902264600714,0
-30.253277711561381,0
-30.168653158522048,0
-30.084028605482718,0
-29.999404052443385,0
-29.914779499404052,0
-29.830154946364718,0
-29.745530393325389,0
-29.660905840286055,0
-29.576281287246722,0
-29.491656734207389,0
-29.407032181168056,0
-29.322407628128722,0
-29.237783075089393,0
-29.15315852205006,0
-29.068533969010726,0
-28.983909415971393,0
-28.899284862932063,0
-28.81466030989273,0
-28.730035756853397,0
-28.645411203814064,0
-28.56078665077473,0
-28.476162097735397,0
-28.391537544696067,0
-28.306912991656734,0
-28.222288438617401,0
-28.137663885578068,0
-28.053039332538738,0
-27.968414779499405,0
-27.883790226460071,0
-27.799165673420738,0
-27.714541120381405,0
-27.629916567342072,0
-27.545292014302742,0
-27.460667461263409,0
-27.376042908224075,0
-27.291418355184746,0
-27.206793802145413,0
-27.122169249106079,0
-27.037544696066746,0
-26.952920143027413,0
-26.86829558998808,0
-26.783671036948746,0
-26.699046483909413,0
-26.614421930870083,0
-26.52979737783075,0
-26.44517282479142,0
-26.360548271752087,0
-26.275923718712754,0
-26.191299165673421,0
-26.106674612634087,0
-26.022050059594754,0
-25.937425506555421,0
-25.852800953516088,0
-25.768176400476758,0
-25.683551847437425,0
-25.598927294398095,0
-25.514302741358762,0
-25.429678188319429,0
-25.345053635280095,0
-25.260429082240762,0
-25.175804529201429,0
-25.091179976162095,0
-25.006555423122762,0
-24.921930870083433,0
-24.837306317044099,0
-24.75268176400477,0
-24.668057210965436,0
-24.583432657926103,0
-24.49880810488677,0
-24.414183551847437,0
-24.329558998808103,0
-24.24493444576877,0
-24.160309892729437,0
-24.075685339690107,0
-23.991060786650774,0
-23.906436233611444,0
-23.821811680572111,0
-23.737187127532778,0
-23.652562574493444,0
-23.567938021454111,0
-23.483313468414778,0
-23.398688915375445,0
-23.314064362336111,0
-23.229439809296782,0
-23.144815256257449,0
-23.060190703218119,0
-22.975566150178786,0
-22.890941597139452,0
-22.806317044100119,0
-22.721692491060786,0
-22.637067938021453,0
-22.552443384982119,0
-22.467818831942786,0
-22.383194278903456,0
-22.298569725864123,0
-22.213945172824793,0
-22.12932061978546,0
-22.044696066746127,0
-21.960071513706794,0
-21.87544696066746,0
-21.790822407628127,0
-21.706197854588794,0
-21.621573301549461,0
-21.536948748510131,0
-21.452324195470798,0
-21.367699642431468,0
-21.283075089392135,0
-21.198450536352802,0
-21.113825983313468,0
-21.029201430274135,0
-20.944576877234802,0
-20.859952324195469,0
-20.775327771156135,0
-20.690703218116806,0
-20.606078665077472,0
-20.521454112038143,0
-20.436829558998809,0
-20.352205005959476,0
-20.267580452920143,0
-20.18295589988081,0
-20.098331346841476,0
-20.013706793802143,0
-19.92908224076281,0
-19.84445768772348,0
-19.759833134684147,0
-19.675208581644817,0
-19.590584028605484,0
-19.505959475566151,0
-19.421334922526817,0
-19.336710369487484,0
-19.252085816448151,0
-19.167461263408818,0
-19.082836710369488,0
-18.998212157330155,0
-18.913587604290822,0
-18.828963051251488,0
-18.744338498212155,0
-18.659713945172825,0
-18.575089392133492,0
-18.490464839094159,0
-18.405840286054826,0
-18.321215733015492,0
-18.236591179976163,0
-18.151966626936829,0
-18.067342073897496,0
-17.982717520858163,0
-17.89809296781883,0
-17.8134684147795,0
-17.728843861740167,0
-17.644219308700833,0
-17.5595947556615,0
-17.474970202622167,0
-17.390345649582837,0
-17.305721096543504,0
-17.221096543504171,0
-17.136471990464837,0
-17.051847437425504,0
-16.967222884386175,0
-16.882598331346841,0
-16.797973778307508,0
-16.713349225268175,0
-16.628724672228842,0
-16.544100119189512,0
-16.459475566150179,0
-16.374851013110845,0
-16.290226460071512,0
-16.205601907032179,0
-16.120977353992849,0
-16.036352800953516,0
-15.951728247914183,0
-15.867103694874849,0
-15.782479141835516,0
-15.697854588796186,0
-15.613230035756853,0
-15.52860548271752,0
-15.443980929678187,0
-15.359356376638853,0
-15.274731823599524,0
-15.19010727056019,0
-15.105482717520857,0
-15.020858164481524,0
-14.936233611442191,0
-14.851609058402861,0
-14.766984505363528,0
-14.682359952324195,0
-14.597735399284861,0
-14.513110846245528,0
-14.428486293206198,0
-14.343861740166865,0
-14.259237187127532,0
-14.174612634088199,0
-14.089988081048865,0
-14.005363528009536,0
-13.920738974970202,0
-13.836114421930869,0
-13.751489868891536,0
-13.666865315852203,0
-13.582240762812873,0
-13.49761620977354,0
-13.412991656734206,0
-13.328367103694873,0
-13.24374255065554,0
-13.15911799761621,0
-13.074493444576877,0
-12.989868891537544,0
-12.905244338498211,0
-12.820619785458877,0
-12.735995232419548,0
-12.651370679380214,0
-12.566746126340881,0
