q_left,q_right,q_center,n_fw,n_fw_sem,n_fw_seed_7001,n_fw_seed_7002,n_fw_seed_7003,n_fw_seed_7004,n_fw_seed_7005
-178.92099189491336,-178.82100810508666,-178.87100000000001,0,0,0,0,0,0,0
-178.82100810508666,-178.72102431525991,-178.77101621017329,0,0,0,0,0,0,0
-178.72102431525991,-178.62104052543322,-178.67103242034656,0,0,0,0,0,0,0
-178.62104052543322,-178.52105673560649,-178.57104863051984,0,0,0,0,0,0,0
-178.52105673560649,-178.42107294577977,-178.47106484069315,0,0,0,0,0,0,0
-178.42107294577977,-178.32108915595308,-178.37108105086642,0,0,0,0,0,0,0
-178.32108915595308,-178.22110536612632,-178.2710972610397,0,0,0,0,0,0,0
-178.22110536612632,-178.12112157629963,-178.17111347121298,0,0,0,0,0,0,0
-178.12112157629963,-178.02113778647288,-178.07112968138625,0,0,0,0,0,0,0
-178.02113778647288,-177.92115399664618,-177.97114589155953,0,0,0,0,0,0,0
-177.92115399664618,-177.82117020681946,-177.87116210173281,0,0,0,0,0,0,0
-177.82117020681946,-177.72118641699274,-177.77117831190611,0,0,0,0,0,0,0
-177.72118641699274,-177.62120262716604,-177.67119452207939,0,0,0,0,0,0,0
-177.62120262716604,-177.52121883733929,-177.57121073225267,0,0,0,0,0,0,0
-177.52121883733929,-177.4212350475126,-177.47122694242594,0,0,0,0,0,0,0
-177.4212350475126,-177.32125125768584,-177.37124315259922,0,0,0,0,0,0,0
-177.32125125768584,-177.22126746785915,-177.2712593627725,0,0,0,0,0,0,0
-177.22126746785915,-177.12128367803246,-177.1712755729458,0,0,0,0,0,0,0
-177.12128367803246,-177.0212998882057,-177.07129178311908,0,0,0,0,0,0,0
-177.0212998882057,-176.92131609837901,-176.97130799329236,0,0,0,0,0,0,0
-176.92131609837901,-176.82133230855226,-176.87132420346563,0,0,0,0,0,0,0
-176.82133230855226,-176.72134851872556,-176.77134041363891,0,0,0,0,0,0,0
-176.72134851872556,-176.62136472889881,-176.67135662381219,0,0,0,0,0,0,0
-176.62136472889881,-176.52138093907212,-176.57137283398546,0,0,0,0,0,0,0
-176.52138093907212,-176.42139714924542,-176.47138904415877,0,0,0,0,0,0,0
-176.42139714924542,-176.32141335941867,-176.37140525433205,0,0,0,0,0,0,0
-176.32141335941867,-176.22142956959198,-176.27142146450532,0,0,0,0,0,0,0
-176.22142956959198,-176.12144577976522,-176.1714376746786,0,0,0,0,0,0,0
-176.12144577976522,-176.02146198993853,-176.07145388485188,0,0,0,0,0,0,0
-176.02146198993853,-175.92147820011178,-175.97147009502515,0,0,0,0,0,0,0
-175.92147820011178,-175.82149441028508,-175.87148630519843,0,0,0,0,0,0,0
-175.82149441028508,-175.72151062045839,-175.77150251537174,0,0,0,0,0,0,0
-175.72151062045839,-175.62152683063164,-175.67151872554501,0,0,0,0,0,0,0
-175.62152683063164,-175.52154304080494,-175.57153493571829,0,0,0,0,0,0,0
-175.52154304080494,-175.42155925097819,-175.47155114589157,0,0,0,0,0,0,0
-175.42155925097819,-175.3215754611515,-175.37156735606484,0,0,0,0,0,0,0
-175.3215754611515,-175.22159167132477,-175.27158356623812,0,0,0,0,0,0,0
-175.22159167132477,-175.12160788149805,-175.17159977641143,0,0,0,0,0,0,0
-175.12160788149805,-175.02162409167136,-175.0716159865847,0,0,0,0,0,0,0
-175.02162409167136,-174.9216403018446,-174.97163219675798,0,0,0,0,0,0,0
-174.9216403018446,-174.82165651201791,-174.87164840693126,0,0,0,0,0,0,0
-174.82165651201791,-174.72167272219116,-174.77166461710453,0,0,0,0,0,0,0
-174.72167272219116,-174.62168893236446,-174.67168082727781,0,0,0,0,0,0,0
-174.62168893236446,-174.52170514253774,-174.57169703745109,0,0,0,0,0,0,0
-174.52170514253774,-174.42172135271102,-174.47171324762439,0,0,0,0,0,0,0
-174.42172135271102,-174.32173756288432,-174.37172945779767,0,0,0,0,0,0,0
-174.32173756288432,-174.22175377305757,-174.27174566797095,0,0,0,0,0,0,0
-174.22175377305757,-174.12176998323088,-174.17176187814422,0,0,0,0,0,0,0
-174.12176998323088,-174.02178619340413,-174.0717780883175,0,0,0,0,0,0,0
-174.02178619340413,-173.92180240357743,-173.97179429849078,0,0,0,0,0,0,0
-173.92180240357743,-173.82181861375071,-173.87181050866405,0,0,0,0,0,0,0
-173.82181861375071,-173.72183482392398,-173.77182671883736,0,0,0,0,0,0,0
-173.72183482392398,-173.62185103409729,-173.67184292901064,0,0,0,0,0,0,0
-173.62185103409729,-173.52186724427054,-173.57185913918391,0,0,0,0,0,0,0
-173.52186724427054,-173.42188345444384,-173.47187534935719,0,0,0,0,0,0,0
-173.42188345444384,-173.32189966461709,-173.37189155953047,0,0,0,0,0,0,0
-173.32189966461709,-173.2219158747904,-173.27190776970374,0,0,0,0,0,0,0
-173.2219158747904,-173.12193208496367,-173.17192397987702,0,0,0,0,0,0,0
-173.12193208496367,-173.02194829513695,-173.07194019005033,0,0,0,0,0,0,0
-173.02194829513695,-172.92196450531026,-172.9719564002236,0,0,0,0,0,0,0
-172.92196450531026,-172.82198071548351,-172.87197261039688,0,0,0,0,0,0,0
-172.82198071548351,-172.72199692565681,-172.77198882057016,0,0,0,0,0,0,0
-172.72199692565681,-172.62201313583006,-172.67200503074343,0,0,0,0,0,0,0
-172.62201313583006,-172.52202934600336,-172.57202124091671,0,0,0,0,0,0,0
-172.52202934600336,-172.42204555617667,-172.47203745109002,0,0,0,0,0,0,0
-172.42204555617667,-172.32206176634992,-172.37205366126329,0,0,0,0,0,0,0
-172.32206176634992,-172.22207797652322,-172.27206987143657,0,0,0,0,0,0,0
-172.22207797652322,-172.12209418669647,-172.17208608160985,0,0,0,0,0,0,0
-172.12209418669647,-172.02211039686978,-172.07210229178312,0,0,0,0,0,0,0
-172.02211039686978,-171.92212660704303,-171.9721185019564,0,0,0,0,0,0,0
-171.92212660704303,-171.82214281721633,-171.87213471212968,0,0,0,0,0,0,0
-171.82214281721633,-171.72215902738964,-171.77215092230298,0,0,0,0,0,0,0
-171.72215902738964,-171.62217523756289,-171.67216713247626,0,0,0,0,0,0,0
-171.62217523756289,-171.52219144773619,-171.57218334264954,0,0,0,0,0,0,0
-171.52219144773619,-171.42220765790944,-171.47219955282281,0,0,0,0,0,0,0
-171.42220765790944,-171.32222386808274,-171.37221576299609,0,0,0,0,0,0,0
-171.32222386808274,-171.22224007825599,-171.27223197316937,0,0,0,0,0,0,0
-171.22224007825599,-171.1222562884293,-171.17224818334265,0,0,0,0,0,0,0
-171.1222562884293,-171.0222724986026,-171.07226439351595,0,0,0,0,0,0,0
-171.0222724986026,-170.92228870877585,-170.97228060368923,0,0,0,0,0,0,0
-170.92228870877585,-170.82230491894916,-170.8722968138625,0,0,0,0,0,0,0
-170.82230491894916,-170.72232112912241,-170.77231302403578,0,0,0,0,0,0,0
-170.72232112912241,-170.62233733929571,-170.67232923420906,0,0,0,0,0,0,0
-170.62233733929571,-170.52235354946899,-170.57234544438234,0,0,0,0,0,0,0
-170.52235354946899,-170.42236975964227,-170.47236165455564,0,0,0,0,0,0,0
-170.42236975964227,-170.32238596981557,-170.37237786472892,0,0,0,0,0,0,0
-170.32238596981557,-170.22240217998882,-170.27239407490219,0,0,0,0,0,0,0
-170.22240217998882,-170.12241839016212,-170.17241028507547,0,0,0,0,0,0,0
-170.12241839016212,-170.02243460033537,-170.07242649524875,0,0,0,0,0,0,0
-170.02243460033537,-169.92245081050868,-169.97244270542203,0,0,0,0,0,0,0
-169.92245081050868,-169.82246702068196,-169.8724589155953,0,0,0,0,0,0,0
-169.82246702068196,-169.72248323085523,-169.77247512576861,0,0,0,0,0,0,0
-169.72248323085523,-169.62249944102854,-169.67249133594188,0,0,0,0,0,0,0
-169.62249944102854,-169.52251565120179,-169.57250754611516,0,0,0,0,0,0,0
-169.52251565120179,-169.42253186137509,-169.47252375628844,0,0,0,0,0,0,0
-169.42253186137509,-169.32254807154834,-169.37253996646172,0,0,0,0,0,0,0
-169.32254807154834,-169.22256428172165,-169.27255617663499,0,0,0,0,0,0,0
-169.22256428172165,-169.12258049189492,-169.17257238680827,0,0,0,0,0,0,0
-169.12258049189492,-169.0225967020682,-169.07258859698157,0,0,0,0,0,0,0
-169.0225967020682,-168.9226129122415,-168.97260480715485,0,0,0,0,0,0,0
-168.9226129122415,-168.82262912241475,-168.87262101732813,0,0,0,0,0,0,0
-168.82262912241475,-168.72264533258806,-168.77263722750141,0,0,0,0,0,0,0
-168.72264533258806,-168.62266154276131,-168.67265343767468,0,0,0,0,0,0,0
-168.62266154276131,-168.52267775293461,-168.57266964784796,0,0,0,0,0,0,0
-168.52267775293461,-168.42269396310789,-168.47268585802124,0,0,0,0,0,0,0
-168.42269396310789,-168.32271017328117,-168.37270206819454,0,0,0,0,0,0,0
-168.32271017328117,-168.22272638345447,-168.27271827836782,0,0,0,0,0,0,0
-168.22272638345447,-168.12274259362772,-168.1727344885411,0,0,0,0,0,0,0
-168.12274259362772,-168.02275880380103,-168.07275069871437,0,0,0,0,0,0,0
-168.02275880380103,-167.92277501397427,-167.97276690888765,0,0,0,0,0,0,0
-167.92277501397427,-167.82279122414758,-167.87278311906093,0,0,0,0,0,0,0
-167.82279122414758,-167.72280743432086,-167.7727993292342,0,0,0,0,0,0,0
-167.72280743432086,-167.62282364449413,-167.67281553940751,0,0,0,0,0,0,0
-167.62282364449413,-167.52283985466744,-167.57283174958079,0,0,0,0,0,0,0
-167.52283985466744,-167.42285606484069,-167.47284795975406,0,0,0,0,0,0,0
-167.42285606484069,-167.32287227501399,-167.37286416992734,0,0,0,0,0,0,0
-167.32287227501399,-167.22288848518724,-167.27288038010062,0,0,0,0,0,0,0
-167.22288848518724,-167.12290469536055,-167.17289659027389,0,0,0,0,0,0,0
-167.12290469536055,-167.02292090553385,-167.0729128004472,0,0,0,0,0,0,0
-167.02292090553385,-166.9229371157071,-166.97292901062048,0,0,0,0,0,0,0
-166.9229371157071,-166.82295332588041,-166.87294522079375,0,0,0,0,0,0,0
-166.82295332588041,-166.72296953605365,-166.77296143096703,0,0,0,0,0,0,0
-166.72296953605365,-166.62298574622696,-166.67297764114031,0,0,0,0,0,0,0
-166.62298574622696,-166.52300195640021,-166.57299385131358,0,0,0,0,0,0,0
-166.52300195640021,-166.42301816657351,-166.47301006148686,0,0,0,0,0,0,0
-166.42301816657351,-166.32303437674682,-166.37302627166017,0,0,0,0,0,0,0
-166.32303437674682,-166.22305058692007,-166.27304248183344,0,0,0,0,0,0,0
-166.22305058692007,-166.12306679709337,-166.17305869200672,0,0,0,0,0,0,0
-166.12306679709337,-166.02308300726662,-166.07307490218,0,0,0,0,0,0,0
-166.02308300726662,-165.92309921743993,-165.97309111235327,0,0,0,0,0,0,0
-165.92309921743993,-165.8231154276132,-165.87310732252655,0,0,0,0,0,0,0
-165.8231154276132,-165.72313163778648,-165.77312353269986,0,0,0,0,0,0,0
-165.72313163778648,-165.62314784795979,-165.67313974287313,0,0,0,0,0,0,0
-165.62314784795979,-165.52316405813303,-165.57315595304641,0,0,0,0,0,0,0
-165.52316405813303,-165.42318026830634,-165.47317216321969,0,0,0,0,0,0,0
-165.42318026830634,-165.32319647847959,-165.37318837339296,0,0,0,0,0,0,0
-165.32319647847959,-165.22321268865289,-165.27320458356624,0,0,0,0,0,0,0
-165.22321268865289,-165.12322889882617,-165.17322079373952,0,0,0,0,0,0,0
-165.12322889882617,-165.02324510899945,-165.07323700391282,0,0,0,0,0,0,0
-165.02324510899945,-164.92326131917275,-164.9732532140861,0,0,0,0,0,0,0
-164.92326131917275,-164.823277529346,-164.87326942425938,0,0,0,0,0,0,0
-164.823277529346,-164.72329373951931,-164.77328563443265,0,0,0,0,0,0,0
-164.72329373951931,-164.62330994969255,-164.67330184460593,0,0,0,0,0,0,0
-164.62330994969255,-164.52332615986586,-164.57331805477921,0,0,0,0,0,0,0
-164.52332615986586,-164.42334237003914,-164.47333426495248,0,0,0,0,0,0,0
-164.42334237003914,-164.32335858021241,-164.37335047512579,0,0,0,0,0,0,0
-164.32335858021241,-164.22337479038572,-164.27336668529907,0,0,0,0,0,0,0
-164.22337479038572,-164.12339100055897,-164.17338289547234,0,0,0,0,0,0,0
-164.12339100055897,-164.02340721073227,-164.07339910564562,0,0,0,0,0,0,0
-164.02340721073227,-163.92342342090552,-163.9734153158189,0,0,0,0,0,0,0
-163.92342342090552,-163.82343963107883,-163.87343152599217,0,0,0,0,0,0,0
-163.82343963107883,-163.7234558412521,-163.77344773616545,0,0,0,0,0,0,0
-163.7234558412521,-163.62347205142538,-163.67346394633876,0,0,0,0,0,0,0
-163.62347205142538,-163.52348826159869,-163.57348015651203,0,0,0,0,0,0,0
