q,n_lda
-48.512,0
-48.412078269824924,0
-48.312156539649848,0
-48.212234809474772,0
-48.112313079299689,0
-48.012391349124613,0
-47.912469618949537,0
-47.812547888774461,0
-47.712626158599384,0
-47.612704428424308,0
-47.512782698249225,0
-47.412860968074149,0
-47.312939237899073,0
-47.213017507723997,0
-47.113095777548921,0
-47.013174047373845,0
-46.913252317198761,0
-46.813330587023685,0
-46.713408856848609,0
-46.613487126673533,0
-46.513565396498457,0
-46.413643666323381,0
-46.313721936148298,0
-46.213800205973222,0
-46.113878475798145,0
-46.013956745623069,0
-45.914035015447993,0
-45.814113285272917,0
-45.714191555097841,0
-45.614269824922758,0
-45.514348094747682,0
-45.414426364572606,0
-45.31450463439753,0
-45.214582904222453,0
-45.114661174047377,0
-45.014739443872294,0
-44.914817713697218,0
-44.814895983522142,0
-44.714974253347066,0
-44.61505252317199,0
-44.515130792996914,0
-44.41520906282183,0
-44.315287332646754,0
-44.215365602471678,0
-44.115443872296602,0
-44.015522142121526,0
-43.91560041194645,0
-43.815678681771374,0
-43.71575695159629,0
-43.615835221421214,0
-43.515913491246138,0
-43.415991761071062,0
-43.316070030895986,0
-43.216148300720903,0
-43.116226570545827,0
-43.016304840370751,0
-42.916383110195675,0
-42.816461380020598,0
-42.716539649845522,0
-42.616617919670446,0
-42.516696189495363,0
-42.416774459320287,0
-42.316852729145211,0
-42.216930998970135,0
-42.117009268795059,0
-42.017087538619982,0
-41.917165808444899,0
-41.817244078269823,0
-41.717322348094747,0
-41.617400617919671,0
-41.517478887744595,0
-41.417557157569519,0
-41.317635427394436,0
-41.217713697219359,0
-41.117791967044283,0
-41.017870236869207,0
-40.917948506694131,0
-40.818026776519055,0
-40.718105046343979,0
-40.618183316168896,0
-40.51826158599382,0
-40.418339855818743,0
-40.318418125643667,0
-40.218496395468591,0
-40.118574665293508,0
-40.018652935118439,0
-39.918731204943356,0
-39.81880947476828,0
-39.718887744593204,0
-39.618966014418127,0
-39.519044284243051,0
-39.419122554067968,0
-39.319200823892892,0
-39.219279093717816,0
-39.11935736354274,0
-39.019435633367664,0
-38.919513903192581,0
-38.819592173017512,0
-38.719670442842428,0
-38.619748712667352,0
-38.519826982492276,0
-38.4199052523172,0
-38.319983522142124,0
-38.220061791967041,0
-38.120140061791965,0
-38.020218331616888,0
-37.920296601441812,0
-37.820374871266736,0
-37.72045314109166,0
-37.620531410916584,0
-37.520609680741501,0
-37.420687950566425,0
-37.320766220391349,0
-37.220844490216273,0
-37.120922760041196,0
-37.021001029866113,0
-36.921079299691044,0
-36.821157569515961,0
-36.721235839340885,0
-36.621314109165809,0
-36.521392378990733,0
-36.421470648815657,0
-36.321548918640573,0
-36.221627188465497,0
-36.121705458290421,0
-36.021783728115345,0
-35.921861997940269,0
-35.821940267765193,0
-35.722018537590117,0
-35.622096807415033,0
-35.522175077239957,0
-35.422253347064881,0
-35.322331616889805,0
-35.222409886714729,0
-35.122488156539646,0
-35.022566426364577,0
-34.922644696189494,0
-34.822722966014418,0
-34.722801235839341,0
