seed,relative_lambda_offset,lambda_value,energy
9701,-0.005,0.4975,35160.452046540355
9702,-0.005,0.4975,35160.43391451417
9703,-0.005,0.4975,35160.445741911695
9704,-0.005,0.4975,35160.43272610749
9705,-0.005,0.4975,35160.44292927096
9701,-0.0025,0.49875,35247.018359833884
9702,-0.0025,0.49875,35247.03085847126
9703,-0.0025,0.49875,35247.030276273865
9704,-0.0025,0.49875,35247.0244620661
9705,-0.0025,0.49875,35247.023337710925
9701,0.0,0.5,35333.61426199915
9702,0.0,0.5,35333.62073774723
9703,0.0,0.5,35333.6045306081
9704,0.0,0.5,35333.63010205407
9705,0.0,0.5,35333.60226082148
9701,0.0025,0.50125,35420.20014791046
9702,0.0025,0.50125,35420.19817275234
9703,0.0025,0.50125,35420.19958150075
9704,0.0025,0.50125,35420.200289602326
9705,0.0025,0.50125,35420.190602888666
9701,0.005,0.5025,35506.774604299186
9702,0.005,0.5025,35506.782250332966
9703,0.005,0.5025,35506.77922095208
9704,0.005,0.5025,35506.77345446598
9705,0.005,0.5025,35506.78151549807
