shell_cell,left,right,center,anchor_envelope,candidate_envelope,anchor_peak_position,candidate_peak_position,peak_position_shift_in_cell_widths,anchor_peak_amplitude,candidate_peak_amplitude,peak_amplitude_relative_difference
1,-48.56196086508754,-12.735404684593714,-30.64868277484063,0.02791225578484324,0.02791303699370485,-13.539394438722965,-13.539394438722965,0.0,1.258968234059126,1.2539395582901613,-0.003994283281279701
2,-12.735404684593714,-11.182679901410111,-11.959042293001913,0.6440291356396508,0.6440148892063273,-11.940646755921728,-11.940646755921728,0.0,1.4693402757453105,1.4661797744052374,-0.0021509662480802315
3,-11.182679901410111,-9.704005592187794,-10.443342746798953,0.6762814459973492,0.676266536974686,-10.44182080329557,-10.44182080329557,0.0,1.5835858460571244,1.5803593931564652,-0.0020374347931263097
4,-9.704005592187794,-8.273925078381211,-8.988965335284503,0.6992613285375125,0.6992610644285542,-8.942994850669413,-8.942994850669413,0.0,1.6423490859383694,1.640858906258287,-0.0009073464909751106
5,-8.273925078381211,-6.866487936581683,-7.570206507481447,0.710511304768762,0.7105057618537949,-7.544090628218328,-7.544090628218328,0.0,1.7107716733180502,1.7097966526337884,-0.0005699303416514663
6,-6.866487936581683,-5.477001055117117,-6.171744495849399,0.7196901340629904,0.719691501365343,-6.145186405767248,-6.145186405767248,0.0,1.7488184531894309,1.7483922779330885,-0.00024369325218699637
7,-5.477001055117117,-4.096767847146504,-4.78688445113181,0.7245152443986781,0.7245204194110079,-4.746282183316168,-4.746282183316168,0.0,1.7606001891716616,1.7607300585437418,7.376426111896019e-05
8,-4.096767847146504,-2.7244770008432417,-3.410622423994873,0.728708496958822,0.7287081095494732,-3.4472996910401648,-3.4472996910401648,0.0,1.7779553652694076,1.7770574691614267,-0.0005050161131827966
9,-2.7244770008432417,-1.3640419251697746,-2.044259463006508,0.7350589659745151,0.7350645337921758,-2.0483954685890833,-2.0483954685890833,0.0,1.8164749526823154,1.8159460333648334,-0.0002911789764571033
10,-1.3640419251697746,-8.257283745649602e-14,-0.6820209625849286,0.7331152962000022,0.7331213603600139,-0.6494912461379982,-0.6494912461379982,0.0,1.80461271588572,1.8049016780390308,0.00016012419216997623
11,-8.257283745649602e-14,1.3640419251694613,0.6820209625846894,0.7331152962000818,0.7331213603600935,0.6494912461380054,0.6494912461380054,0.0,1.80461271588572,1.8049016780390308,0.00016012419216997623
12,1.3640419251694613,2.7244770008431125,2.044259463006287,0.7350589659744157,0.7350645337920757,2.048395468589085,2.048395468589085,0.0,1.8164749526823154,1.8159460333648334,-0.0002911789764571033
13,2.7244770008431125,4.096767847146374,3.4106224239947434,0.7287084969588222,0.7287081095494709,3.4472996910401648,3.4472996910401648,0.0,1.7779553652694076,1.7770574691614267,-0.0005050161131827966
14,4.096767847146374,5.477001055116934,4.7868844511316535,0.7245152443987061,0.724520419411034,4.74628218331617,4.74628218331617,0.0,1.7606001891716616,1.7607300585437418,7.376426111896019e-05
15,5.477001055116934,6.866487936581506,6.17174449584922,0.7196901340629872,0.7196915013653411,6.145186405767253,6.145186405767253,0.0,1.7488184531894309,1.7483922779330885,-0.00024369325218699637
16,6.866487936581506,8.273925078381108,7.570206507481307,0.7105113047687248,0.7105057618537574,7.544090628218335,7.544090628218335,0.0,1.7107716733180502,1.7097966526337884,-0.0005699303416514663
17,8.273925078381108,9.704005592187789,8.988965335284448,0.6992613285374648,0.6992610644285148,8.942994850669415,8.942994850669415,0.0,1.6423490859383694,1.640858906258287,-0.0009073464909751106
18,9.704005592187789,11.182679901410074,10.443342746798931,0.6762814459973638,0.6762665369747021,10.441820803295572,10.441820803295572,0.0,1.5835858460571244,1.5803593931564652,-0.0020374347931263097
19,11.182679901410074,12.735404684593641,11.959042293001858,0.6440291356396656,0.6440148892063383,11.940646755921733,11.940646755921733,0.0,1.4693402757453105,1.4661797744052374,-0.0021509662480802315
20,12.735404684593641,48.56196086508754,30.64868277484059,0.027912255784843278,0.027913036993704912,13.539394438722967,13.539394438722967,0.0,1.258968234059126,1.2539395582901613,-0.003994283281279701
